Brand,Shoe Name,Traction,Cushioning,Lockdown,Lateral Stability,Torsion Support,Weight,Durability,Ventilation,Avg,Overall Rating,Guard,Wing,Big,Outdoor,Reviews,Year of Release,MSRP,Weight per shoe (US9),Heel-to-toe Offset,Recent Release,Asia Brand?,Budget Shoe? ($100),Sizing Recommendation,Sizing Notes
LI-NING,Yushuai 16,88,84,82,83,84,79,79,81,85,85,84,86,85,81,22,2022-,$125,390 - 410g,[7 - 9mm est.],Yes,Asia,No,Stay true to size?,Fits looser than YS15; still weak arch support
LI-NING,Yushuai Evolution,82,92,64,76,82,65,63,80,79,71,62,74,81,58,18,2022-,$215,440 - 460g,5 - 6mm,Yes,Asia,No,Stay true to size,Laceless design with BOA system; limited fit adjustability
LI-NING,Yushuai Retro,78,67,82,80,77,69,83,86,76,70,68,73,67,79,18,2022-,$90,440 - 460g,[6 - 8mm es.t],Yes,Asia,Yes,Stay true to size,"Use EU size; slightly short in length, but wide foot friendly."
NB,KAWHI 1,87,75,78,88,93,66,81,67,80,78,74,81,79,76,27,2020-,$160,470 - 490g,,No,Non-Asia,No,,
NB,KAWHI 2,83,76,85,82,86,84,87,74,81,83,82,86,80,78,21,2022-,$160,360 - 380g,[8 - 10mm est.],Yes,Non-Asia,No,Stay true to size,Runs both narrow and long; very narrow feet may try half down.
NB,OMN1S,90,73,77,69,86,77,82,82,80,76,74,81,72,76,29,2019-,$140,,,No,Non-Asia,No,,
NB,TWO WXY,88,75,86,85,86,86,82,64,83,85,86,87,80,77,25,2021-,$140,350 - 380g,,No,Non-Asia,No,,
NB,TWO WXY v2,92,79,81,81,68,92,74,75,84,83,86,83,78,70,14,2022-,$130,330 - 350g,[7 - 8mm est.],Yes,Non-Asia,No,Stay true to size,Snug forefoot
NIKE,Adapt BB,84,77,84,79,94,70,74,87,82,80,76,85,80,50,13,2019-,$350,460 - 470g,,No,Non-Asia,No,,
NIKE,Adapt BB 2.0,82,80,87,88,92,54,62,64,83,78,71,80,84,35,26,2020-,$400,550 - 560g,,No,Non-Asia,No,,
NIKE,Air Deldon,74,84,82,80,77,81,71,61,80,78,74,79,82,75,10,2022-,$120,370 - 380g,[5 - 7mm est.],Yes,Non-Asia,No,Stay true to size,Comes in Mens' sizes; very narrow and tapering toebox
NIKE,Air Force Max,75,86,83,80,90,59,69,71,81,75,66,79,85,75,13,2018-19,$160,480 - 490g,,No,Non-Asia,No,,
NIKE,Air Max Dominate,83,73,81,81,79,74,86,86,79,77,76,79,74,84,10,2018-,$90,410 - 420g,6 - 7mm,No,Non-Asia,Yes,,
NIKE,Air Max Impact 3 & 4,87,81,83,86,83,85,88,80,83,85,86,86,84,88,17,2021-,$90,340 - 360g,[7 - 9mm est.],No,Non-Asia,Yes,Stay true to size,
NIKE,Air Zoom BB NXT,92,93,82,63,87,75,72,75,89,82,77,87,84,80,27,2020-,$180,420 - 440g,6 - 8mm,No,Non-Asia,No,,
NIKE,Air Zoom G.T. Cut,89,93,87,81,78,78,68,74,90,88,86,90,89,63,47,2021-,$170,420 - 430g,[3 - 5mm est.],No,Non-Asia,No,,
NIKE,Air Zoom G.T. Cut 2,87,92,81,76,86,80,81,85,87,86,82,88,88,73,33,2022-,$170,390 - 400g,5 - 6mm,Yes,Non-Asia,No,Stay true to size,"Slightly narrow, but do not go up in size; less snug than previous version; heel-slip if slightly large"
NIKE,Air Zoom G.T. Jump,81,96,83,84,91,67,65,86,87,84,76,88,92,67,24,2022-,$180,460 - 470g,7 - 9mm,Yes,Non-Asia,No,Stay true to size,Fits narrow; many noted chafing around arch and heel area
NIKE,Air Zoom G.T. Run,80,92,77,81,79,83,75,88,83,81,77,83,86,72,25,2021-,$175,360 - 370g,6 - 7mm,No,Non-Asia,No,,
NIKE,Alphadunk,62,82,71,75,84,58,54,58,72,56,46,61,68,57,32,2019-,$180,440 - 470g,[6 - 8mm est.],No,Non-Asia,No,,
NIKE,Cosmic Unity,83,85,84,85,88,70,79,67,84,84,79,86,87,79,34,2021-,$150,410 - 420g,5 - 6mm,No,Non-Asia,No,,
